"Year","Total Biomass (mt)","Spawning Output","Total Biomass 3+ (mt)","Fraction Unfished","Age-0 Recruits","Total Mortality (mt)","1-SPR","Exploitation Rate"
1949,36.6564,2.74643,36.0422,1,2.77033,0.00222522,0.00121464,6.17392944936769e-05
1950,36.69,2.74624,36.0401,0.999930819281758,2.92987,0.0111259,0.00605022,0.000308708910352635
1951,36.7431,2.74531,36.0596,0.999592197871418,3.04646,0.0133503,0.00725522,0.000370228732431863
1952,36.8277,2.74426,36.1142,0.999209883375873,3.05516,0.0333688,0.0179852,0.00092398004109187
1953,36.9261,2.74169,36.2002,0.998274123134396,2.94568,0.0177868,0.00965841,0.00049134535168314
1954,37.0672,2.74095,36.354,0.998004682442298,2.77514,0.0355318,0.0191457,0.000977383506629257
1955,37.2075,2.73966,36.527,0.997534981776342,2.60467,0.0376738,0.0202743,0.0010313959536781
1956,37.3498,2.73991,36.709,0.997626009037186,2.46741,0.068487,0.0363252,0.00186567326813588
1957,37.4538,2.74006,36.8487,0.997680625393693,2.37372,0.0770231,0.0406246,0.00209025284474079
1958,37.5311,2.74268,36.9528,0.998634591087339,2.32324,0.0635573,0.0336011,0.00171995897469204
1959,37.5955,2.74981,37.0338,1.00123068856661,2.31012,0.0895348,0.0465943,0.00241765090268889
1960,37.6043,2.75762,37.0496,1.00407438019538,2.32544,0.0435728,0.0230032,0.00117606667818276
1961,37.6271,2.7711,37.0719,1.00898257010009,2.36066,0.139335,0.0703053,0.00375850711725053
1962,37.5279,2.77675,36.9664,1.01103978619517,2.40794,0.115499,0.0587144,0.00312443191655125
1963,37.4307,2.78321,36.8593,1.01339193061538,2.46406,0.0983139,0.0502571,0.00266727528737659
1964,37.3353,2.78863,36.7513,1.01536540163048,2.52897,0.081131,0.0417575,0.00220756816765665
1965,37.2493,2.79218,36.6504,1.01665798873447,2.61061,0.171738,0.0853063,0.00468584244646716
1966,37.0777,2.78445,36.4603,1.01384342582917,2.72879,0.137056,0.0693727,0.00375904751195136
1967,36.958,2.77642,36.3149,1.01091963021086,2.91353,0.139756,0.0710131,0.00384844788227422
1968,36.8685,2.76551,36.1875,1.00694720054762,3.17355,0.142347,0.0726569,0.00393359585492228
1969,36.8261,2.7526,36.0932,1.00224655279763,3.42038,0.144791,0.074253,0.00401158667006528
1970,36.8396,2.73867,36.0543,0.9971745138234,3.41111,0.14483,0.0746753,0.00401699658570545
1971,36.9075,2.72495,36.1004,0.992178937748277,3.10955,0.146897,0.0760296,0.00406912388782396
1972,37.0146,2.71232,36.2427,0.987580240530434,2.76124,0.146516,0.0761122,0.00404263479266169
1973,37.1451,2.7021,36.4469,0.983859046107128,2.52072,0.14811,0.0770325,0.0040637200969081
1974,37.2782,2.69528,36.6477,0.981375822431302,2.40021,0.149459,0.0776725,0.00407826412025857
1975,37.3967,2.69303,36.8089,0.980556577083705,2.33907,0.152818,0.0790975,0.0041516589737808
1976,37.4827,2.69596,36.9188,0.981623416580798,2.23453,0.0889118,0.0470283,0.00240830687888014
1977,37.5856,2.70975,37.0438,0.986644480288957,2.0394,0.224311,0.111294,0.00605529130380792
1978,37.4956,2.71649,36.9891,0.989098575241313,1.83171,0.193484,0.0966851,0.00523083827397801
1979,37.3679,2.72823,36.9068,0.993373215410551,1.70496,0.141835,0.071967,0.00384305873172423
1980,37.217,2.7441,36.793,0.999151625928933,1.69359,0.172325,0.08592,0.0046836354741391
1981,36.9639,2.75477,36.5544,1.00303666942176,1.78777,0.196908,0.0970369,0.00538671131245486
