"Year","Spawning Output","Lower Interval","Upper Interval","Fraction Unfished","Lower Interval","Upper Interval"
2011,1.81868,-0.255471486279357,3.89283148627936,0.6622,0.355359798364316,0.969040201635684
2012,1.81587,-0.303654652521459,3.93539465252146,0.661174,0.337229192671235,0.985118807328765
2013,1.81432,-0.350793414801861,3.97943341480186,0.660611,0.31987910114365,1.00134289885635
2014,1.80604,-0.407308128461392,4.01938812846139,0.657595,0.297463377624672,1.01772662237533
2015,1.79906,-0.464561204664844,4.06268120466484,0.655057,0.275092502065112,1.03502149793489
2016,1.76844,-0.542906327688395,4.07978632768839,0.643906,0.239226356220061,1.04858564377994
2017,1.77196,-0.584171504735135,4.12809150473513,0.645186,0.225297035700031,1.06507496429997
2018,1.75738,-0.636128017920313,4.15088801792031,0.639879,0.203063786729543,1.07669421327046
2019,1.71523,-0.706913091734444,4.13737309173444,0.624533,0.167179324135548,1.08188667586445
2020,1.55811,-0.876635660155036,3.99285566015504,0.567324,0.0666884394649496,1.06795956053505
2021,1.55096,-0.900210158345482,4.00213015834548,0.56472,0.0565758174401766,1.07286418255982
