"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20","Age21","Age22","Age23","Age24","Age25","Age26","Age27","Age28","Age29","Age30","Age31","Age32","Age33","Age34","Age35","Age36","Age37","Age38","Age39","Age40","Age41","Age42","Age43","Age44","Age45","Age46","Age47","Age48","Age49","Age50","Age51","Age52","Age53","Age54","Age55","Age56","Age57","Age58","Age59","Age60","Age61","Age62","Age63","Age64","Age65","Age66","Age67","Age68"
1949,0.054356,0.107056,0.167268,0.242316,0.320282,0.396378,0.466943,0.529446,0.582366,0.625006,0.657313,0.679695,0.692878,0.697781,0.695419,0.686838,0.67306,0.655048,0.633689,0.609781,0.584025,0.557031,0.529319,0.501325,0.473412,0.445871,0.418937,0.392792,0.367574,0.34338,0.32028,0.298314,0.277502,0.257845,0.239332,0.221939,0.205635,0.190381,0.176135,0.162852,0.150483,0.138981,0.128297,0.118382,0.109191,0.100678,0.0927979,0.0855094,0.0787722,0.0725479,0.0668006,0.0614961,0.0566023,0.0520892,0.0479286,0.0440942,0.0405614,0.0373073,0.0343106,0.0315516,0.029012,0.0266746,0.0245238,0.0225449,0.0207244,0.0190499,0.0175098,0.0160934,0.182627
1950,0.0574861,0.112582,0.177671,0.242316,0.320282,0.396377,0.46694,0.52944,0.582353,0.624985,0.657283,0.679658,0.692835,0.697734,0.695371,0.686789,0.673011,0.655,0.633643,0.609736,0.583982,0.55699,0.52928,0.501289,0.473377,0.445839,0.418907,0.392764,0.367547,0.343355,0.320256,0.298292,0.277481,0.257826,0.239315,0.221923,0.20562,0.190367,0.176122,0.16284,0.150472,0.138971,0.128287,0.118374,0.109183,0.100671,0.0927912,0.0855032,0.0787664,0.0725426,0.0667957,0.0614916,0.0565982,0.0520854,0.0479251,0.044091,0.0405584,0.0373045,0.0343081,0.0315493,0.0290099,0.0266727,0.024522,0.0225432,0.0207229,0.0190485,0.0175085,0.0160923,0.182613
1951,0.0597739,0.119065,0.186842,0.257387,0.320281,0.396375,0.46693,0.529413,0.582296,0.624889,0.657144,0.679479,0.692626,0.697505,0.695131,0.686546,0.672769,0.654763,0.633412,0.609514,0.583769,0.556787,0.529087,0.501106,0.473204,0.445676,0.418754,0.39262,0.367412,0.34323,0.320139,0.298183,0.27738,0.257732,0.239227,0.221842,0.205545,0.190298,0.176058,0.16278,0.150417,0.13892,0.12824,0.11833,0.109143,0.100634,0.0927573,0.085472,0.0787376,0.0725161,0.0667713,0.0614691,0.0565775,0.0520664,0.0479076,0.0440749,0.0405436,0.0372909,0.0342956,0.0315378,0.0289993,0.0266629,0.024513,0.022535,0.0207153,0.0190415,0.0175021,0.0160864,0.182546
1952,0.0599444,0.123804,0.197602,0.270673,0.340201,0.396373,0.466924,0.529395,0.582253,0.624807,0.657013,0.679298,0.692401,0.697247,0.694854,0.68626,0.672482,0.65448,0.633137,0.609248,0.583514,0.556543,0.528855,0.500886,0.472997,0.44548,0.41857,0.392448,0.367251,0.343079,0.319999,0.298052,0.277258,0.257619,0.239122,0.221745,0.205455,0.190214,0.175981,0.162709,0.150351,0.138859,0.128184,0.118279,0.109096,0.10059,0.0927166,0.0854345,0.0787031,0.0724843,0.066742,0.0614422,0.0565527,0.0520436,0.0478866,0.0440555,0.0405258,0.0372746,0.0342805,0.031524,0.0289865,0.0266512,0.0245023,0.0225251,0.0207062,0.0190332,0.0174944,0.0160793,0.182466
1953,0.0577964,0.124157,0.205466,0.28626,0.357761,0.421019,0.466901,0.529332,0.582121,0.624575,0.656663,0.678829,0.69183,0.696602,0.694162,0.685546,0.671765,0.653773,0.632448,0.608582,0.582875,0.555933,0.528276,0.500337,0.472478,0.444992,0.418111,0.392018,0.366849,0.342703,0.319648,0.297726,0.276954,0.257337,0.23886,0.221501,0.205229,0.190006,0.175788,0.16253,0.150186,0.138707,0.128043,0.118149,0.108976,0.100479,0.0926149,0.0853408,0.0786168,0.0724049,0.0666689,0.0613748,0.0564907,0.0519865,0.0478341,0.0440072,0.0404814,0.0372337,0.034243,0.0314894,0.0289548,0.026622,0.0244754,0.0225004,0.0206835,0.0190123,0.0174752,0.0160617,0.182266
1954,0.0544503,0.119708,0.206052,0.297652,0.378364,0.442756,0.495951,0.52935,0.58214,0.624578,0.656624,0.678726,0.691653,0.696353,0.693858,0.685206,0.671406,0.653408,0.632087,0.608231,0.582536,0.555609,0.527967,0.500045,0.472202,0.444732,0.417867,0.391789,0.366634,0.342503,0.319461,0.297551,0.276792,0.257186,0.23872,0.221372,0.205109,0.189894,0.175685,0.162435,0.150098,0.138625,0.127969,0.11808,0.108912,0.100421,0.0925608,0.0852909,0.0785708,0.0723625,0.0666299,0.0613389,0.0564576,0.0519561,0.0478061,0.0439815,0.0404577,0.0372119,0.0342229,0.031471,0.0289378,0.0266064,0.0244611,0.0224872,0.0206714,0.0190012,0.017465,0.0160523,0.18216
1955,0.0511056,0.112778,0.198668,0.298501,0.393421,0.468248,0.521535,0.562231,0.582059,0.624433,0.656392,0.67839,0.691206,0.695803,0.693224,0.684515,0.670685,0.65268,0.631367,0.60753,0.581861,0.554963,0.527351,0.499461,0.471651,0.444212,0.417379,0.391331,0.366206,0.342102,0.319088,0.297204,0.276469,0.256886,0.238441,0.221113,0.20487,0.189673,0.17548,0.162246,0.149923,0.138464,0.127819,0.117942,0.108785,0.100303,0.0924526,0.0851912,0.078479,0.072278,0.066552,0.0612672,0.0563917,0.0518954,0.0477503,0.0439301,0.0404104,0.0371684,0.0341829,0.0314342,0.028904,0.0265753,0.0244325,0.022461,0.0206473,0.018979,0.0174446,0.0160336,0.181947
1956,0.0484123,0.10585,0.187167,0.287805,0.394543,0.48688,0.551559,0.591228,0.618202,0.624327,0.656212,0.678116,0.690823,0.69531,0.692631,0.683844,0.669964,0.651934,0.630619,0.606795,0.581149,0.55428,0.526701,0.498844,0.471067,0.443663,0.416862,0.390846,0.365752,0.341679,0.318693,0.296836,0.276127,0.256568,0.238146,0.220839,0.204616,0.189438,0.175262,0.162045,0.149737,0.138292,0.127661,0.117796,0.10865,0.100179,0.0923381,0.0850858,0.0783819,0.0721885,0.0664696,0.0611914,0.0563219,0.0518311,0.0476911,0.0438757,0.0403604,0.0371224,0.0341406,0.0313953,0.0288682,0.0265424,0.0244022,0.0224331,0.0206217,0.0189555,0.017423,0.0160137,0.181722
1957,0.0465741,0.100272,0.17567,0.271143,0.380403,0.488258,0.573466,0.625163,0.649893,0.66279,0.655694,0.677418,0.689952,0.694283,0.691473,0.682585,0.668639,0.650579,0.629265,0.605465,0.57986,0.553043,0.525521,0.497725,0.47001,0.442666,0.415925,0.389968,0.36493,0.340911,0.317977,0.296169,0.275506,0.255991,0.237611,0.220343,0.204156,0.189012,0.174869,0.161681,0.149401,0.137981,0.127374,0.117531,0.108406,0.0999539,0.0921306,0.0848945,0.0782057,0.0720262,0.0663202,0.0610538,0.0561953,0.0517146,0.047584,0.0437771,0.0402697,0.037039,0.0340639,0.0313247,0.0288033,0.0264828,0.0243474,0.0223827,0.0205753,0.0189129,0.0173838,0.0159777,0.181313
1958,0.0455836,0.0964644,0.166412,0.254487,0.358379,0.470757,0.575078,0.649965,0.687139,0.696679,0.695973,0.676744,0.689081,0.693234,0.690271,0.681261,0.667226,0.649115,0.627784,0.603998,0.57843,0.551665,0.524204,0.496473,0.468826,0.44155,0.414877,0.388985,0.36401,0.340051,0.317175,0.295422,0.274811,0.255345,0.237012,0.219787,0.203641,0.188535,0.174427,0.161273,0.149024,0.137633,0.127053,0.117235,0.108133,0.0997017,0.0918982,0.0846804,0.0780084,0.0718445,0.0661529,0.0608998,0.0560535,0.0515842,0.0474639,0.0436667,0.0401681,0.0369456,0.033978,0.0312457,0.0287307,0.026416,0.024286,0.0223263,0.0205234,0.0188652,0.01734,0.0159374,0.180856
