"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20","Age21","Age22","Age23","Age24","Age25","Age26","Age27","Age28","Age29","Age30","Age31","Age32","Age33","Age34","Age35","Age36","Age37","Age38","Age39","Age40","Age41","Age42","Age43","Age44","Age45","Age46","Age47","Age48","Age49","Age50","Age51","Age52","Age53","Age54","Age55","Age56","Age57","Age58","Age59","Age60","Age61","Age62","Age63","Age64","Age65","Age66","Age67","Age68"
1949,0.0362774,0.0908372,0.158386,0.242471,0.329582,0.413169,0.488609,0.553058,0.605122,0.644505,0.671679,0.687614,0.693563,0.690907,0.681044,0.665311,0.644945,0.621053,0.594603,0.566427,0.537224,0.507572,0.477941,0.448704,0.420154,0.392511,0.365935,0.34054,0.316397,0.293545,0.271997,0.251745,0.232766,0.215025,0.198477,0.183071,0.168753,0.155466,0.143152,0.131754,0.121214,0.111476,0.102488,0.0941962,0.0865531,0.0795115,0.0730275,0.0670598,0.0615694,0.0565201,0.0518778,0.0476112,0.0436907,0.0400892,0.0367814,0.0337439,0.0309551,0.028395,0.0260452,0.0238887,0.0219097,0.0200939,0.0184279,0.0168995,0.0154974,0.0142112,0.0130315,0.0119495,0.131874
1950,0.0383664,0.0955262,0.168237,0.242471,0.329582,0.413168,0.488607,0.553051,0.605109,0.644483,0.671649,0.687576,0.69352,0.690861,0.680996,0.665264,0.644899,0.621008,0.59456,0.566385,0.537184,0.507535,0.477906,0.448672,0.420123,0.392482,0.365908,0.340515,0.316374,0.293523,0.271977,0.251727,0.232749,0.215009,0.198462,0.183057,0.168741,0.155455,0.143142,0.131744,0.121205,0.111468,0.10248,0.0941894,0.0865467,0.0795057,0.0730222,0.0670549,0.0615649,0.0565159,0.0518741,0.0476077,0.0436875,0.0400863,0.0367787,0.0337414,0.0309528,0.0283929,0.0260433,0.0238869,0.0219081,0.0200924,0.0184265,0.0168982,0.0154962,0.0142102,0.0130306,0.0119486,0.131864
1951,0.0398933,0.101027,0.176921,0.257552,0.329582,0.413165,0.488596,0.553023,0.60505,0.644384,0.671507,0.687396,0.693311,0.690634,0.680761,0.665027,0.644666,0.620782,0.594343,0.566179,0.536988,0.507349,0.477731,0.448508,0.41997,0.392338,0.365775,0.340391,0.316258,0.293416,0.271877,0.251635,0.232664,0.214931,0.19839,0.182991,0.168679,0.155398,0.14309,0.131696,0.121161,0.111427,0.102443,0.0941549,0.0865151,0.0794766,0.0729955,0.0670304,0.0615424,0.0564953,0.0518551,0.0475903,0.0436716,0.0400716,0.0367653,0.0337291,0.0309415,0.0283826,0.0260338,0.0238782,0.0219001,0.0200851,0.0184198,0.0168921,0.0154906,0.014205,0.0130258,0.0119443,0.131816
1952,0.0400071,0.105048,0.187109,0.270847,0.35008,0.413164,0.488591,0.553004,0.605005,0.6443,0.671374,0.687213,0.693086,0.69038,0.68049,0.66475,0.644391,0.620513,0.594084,0.565931,0.536753,0.507127,0.477522,0.448311,0.419786,0.392166,0.365614,0.340241,0.316119,0.293287,0.271758,0.251524,0.232562,0.214836,0.198303,0.18291,0.168605,0.15533,0.143027,0.131639,0.121108,0.111379,0.102398,0.0941136,0.0864772,0.0794418,0.0729635,0.067001,0.0615154,0.0564705,0.0518324,0.0475694,0.0436524,0.0400541,0.0367492,0.0337143,0.030928,0.0283701,0.0260224,0.0238677,0.0218905,0.0200763,0.0184117,0.0168846,0.0154838,0.0141988,0.0130201,0.011939,0.131758
1953,0.0385735,0.105347,0.194556,0.286444,0.36815,0.438855,0.488567,0.552939,0.604867,0.64406,0.671016,0.68674,0.692517,0.689742,0.679813,0.664058,0.643703,0.619842,0.593437,0.565313,0.536165,0.506571,0.476998,0.44782,0.419326,0.391736,0.365213,0.339868,0.315773,0.292966,0.27146,0.251249,0.232307,0.214601,0.198085,0.18271,0.16842,0.155159,0.14287,0.131494,0.120975,0.111256,0.102285,0.0940105,0.0863824,0.0793547,0.0728835,0.0669275,0.061448,0.0564086,0.0517755,0.0475173,0.0436046,0.0400102,0.0367089,0.0336774,0.0308941,0.028339,0.0259938,0.0238416,0.0218665,0.0200542,0.0183915,0.0168661,0.0154668,0.0141832,0.0130058,0.0119259,0.131614
1954,0.0363403,0.101572,0.195111,0.297843,0.389351,0.461512,0.518964,0.552958,0.604888,0.644063,0.670976,0.686636,0.69234,0.689497,0.679516,0.663729,0.643358,0.619496,0.593098,0.564986,0.535853,0.506276,0.47672,0.447558,0.41908,0.391507,0.365,0.339669,0.315588,0.292794,0.271301,0.251102,0.232171,0.214475,0.197969,0.182603,0.168322,0.155069,0.142787,0.131417,0.120904,0.111191,0.102226,0.0939555,0.0863318,0.0793083,0.0728409,0.0668884,0.061412,0.0563756,0.0517453,0.0474895,0.0435791,0.0399867,0.0366874,0.0336577,0.030876,0.0283224,0.0259786,0.0238276,0.0218537,0.0200425,0.0183808,0.0168563,0.0154578,0.0141749,0.0129982,0.011919,0.131537
1955,0.034108,0.0956919,0.188119,0.298693,0.404845,0.488084,0.545736,0.587306,0.604804,0.643914,0.67074,0.686297,0.691893,0.688954,0.678897,0.663061,0.642668,0.618805,0.592421,0.564333,0.535231,0.505686,0.476163,0.447035,0.418591,0.39105,0.364573,0.339273,0.315219,0.292452,0.270985,0.250808,0.2319,0.214225,0.197738,0.18239,0.168125,0.154888,0.14262,0.131264,0.120763,0.111061,0.102106,0.0938457,0.086231,0.0792156,0.0727558,0.0668103,0.0613403,0.0563097,0.0516848,0.047434,0.0435281,0.03994,0.0366445,0.0336183,0.0308399,0.0282894,0.0259483,0.0237998,0.0218282,0.0200191,0.0183593,0.0168366,0.0154397,0.0141583,0.012983,0.011905,0.131383
1956,0.0323105,0.0898139,0.177228,0.28799,0.406,0.507506,0.577153,0.617596,0.64236,0.643805,0.670556,0.68602,0.69151,0.688465,0.678316,0.662412,0.641977,0.618098,0.591719,0.56365,0.534576,0.505063,0.475575,0.446482,0.418073,0.390566,0.364122,0.338853,0.314829,0.29209,0.270649,0.250498,0.231613,0.21396,0.197493,0.182164,0.167917,0.154696,0.142443,0.131101,0.120613,0.110924,0.10198,0.0937295,0.0861242,0.0791175,0.0726657,0.0667275,0.0612643,0.05624,0.0516208,0.0473753,0.0434742,0.0398906,0.0365992,0.0335767,0.0308017,0.0282543,0.0259162,0.0237703,0.0218011,0.0199943,0.0183366,0.0168157,0.0154206,0.0141408,0.012967,0.0118903,0.13122
1957,0.0310837,0.0850807,0.166342,0.271316,0.39145,0.508943,0.600078,0.653045,0.675288,0.683469,0.670029,0.685316,0.690641,0.68745,0.677182,0.661192,0.640708,0.616813,0.590447,0.562414,0.533389,0.503935,0.47451,0.44548,0.417134,0.389688,0.363304,0.338091,0.314121,0.291434,0.270041,0.249935,0.231092,0.213479,0.197049,0.181754,0.167539,0.154348,0.142123,0.130807,0.120342,0.110675,0.101751,0.0935188,0.0859306,0.0789397,0.0725024,0.0665776,0.0611267,0.0561136,0.0515048,0.0472688,0.0433765,0.0398009,0.0365169,0.0335012,0.0307325,0.0281908,0.0258579,0.0237169,0.0217521,0.0199494,0.0182954,0.0167779,0.0153859,0.014109,0.0129378,0.0118636,0.130925
1958,0.0304226,0.0818502,0.157575,0.25465,0.368787,0.490701,0.601765,0.678954,0.713989,0.718415,0.711189,0.684637,0.689772,0.686413,0.676006,0.659909,0.639354,0.615424,0.589058,0.561051,0.532073,0.502678,0.47332,0.44436,0.416083,0.388706,0.362388,0.337238,0.313329,0.290699,0.26936,0.249304,0.23051,0.21294,0.196552,0.181296,0.167117,0.153959,0.141764,0.130477,0.120039,0.110395,0.101494,0.0932829,0.0857139,0.0787406,0.0723195,0.0664096,0.0609725,0.0559721,0.0513749,0.0471496,0.0432671,0.0397005,0.0364248,0.0334167,0.030655,0.0281197,0.0257927,0.0236571,0.0216973,0.0198991,0.0182492,0.0167356,0.0153471,0.0140734,0.0129052,0.0118337,0.130595
1959,0.0302509,0.0801094,0.151592,0.24123,0.346134,0.462296,0.580214,0.680912,0.742414,0.759743,0.747757,0.726938,0.68935,0.68583,0.675275,0.659052,0.638396,0.614398,0.587995,0.559982,0.531022,0.501663,0.472351,0.443444,0.415223,0.387901,0.361636,0.336539,0.312679,0.290096,0.268801,0.248787,0.230031,0.212498,0.196145,0.18092,0.16677,0.153639,0.14147,0.130206,0.11979,0.110166,0.101283,0.0930894,0.0855361,0.0785772,0.0721695,0.0662718,0.060846,0.055856,0.0512683,0.0470518,0.0431774,0.0396182,0.0363492,0.0333474,0.0305914,0.0280614,0.0257392,0.023608,0.0216523,0.0198578,0.0182113,0.0167009,0.0153153,0.0140442,0.0128784,0.0118091,0.130324
