"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20","Age21","Age22","Age23","Age24","Age25","Age26","Age27","Age28","Age29","Age30","Age31","Age32","Age33","Age34","Age35","Age36","Age37","Age38","Age39","Age40","Age41","Age42","Age43","Age44","Age45","Age46","Age47","Age48","Age49","Age50","Age51","Age52","Age53","Age54","Age55","Age56","Age57","Age58","Age59","Age60","Age61","Age62","Age63","Age64","Age65","Age66","Age67","Age68"
1949,1.38517,1.20759,1.0423,0.955584,0.876084,0.803198,0.736375,0.675112,0.618946,0.567452,0.520242,0.476961,0.43728,0.4009,0.367547,0.336968,0.308934,0.283232,0.259669,0.238065,0.218259,0.200101,0.183454,0.168191,0.154198,0.14137,0.129608,0.118825,0.10894,0.0998764,0.0915671,0.0839491,0.0769649,0.0705618,0.0646914,0.0593093,0.0543751,0.0498513,0.0457039,0.0419015,0.0384155,0.0352195,0.0322894,0.0296031,0.0271402,0.0248823,0.0228122,0.0209143,0.0191743,0.0175791,0.0161166,0.0147758,0.0135465,0.0124195,0.0113862,0.0104389,0.00957047,0.00877425,0.00804427,0.00737502,0.00676146,0.00619893,0.00568321,0.00521039,0.00477691,0.00437949,0.00401514,0.00368109,0.0405652
1950,1.46493,1.26993,1.10712,0.955584,0.876084,0.803196,0.736371,0.675104,0.618932,0.567433,0.520219,0.476935,0.437253,0.400873,0.367521,0.336944,0.308912,0.283212,0.25965,0.238048,0.218243,0.200086,0.18344,0.168179,0.154187,0.141359,0.129599,0.118817,0.108932,0.0998691,0.0915604,0.083943,0.0769593,0.0705566,0.0646866,0.059305,0.0543711,0.0498476,0.0457005,0.0418985,0.0384127,0.0352169,0.032287,0.0296009,0.0271382,0.0248804,0.0228105,0.0209128,0.0191729,0.0175778,0.0161154,0.0147747,0.0135455,0.0124186,0.0113854,0.0104382,0.00956977,0.00877361,0.00804369,0.00737449,0.00676096,0.00619848,0.00568279,0.00521001,0.00477656,0.00437917,0.00401484,0.00368083,0.0405622
1951,1.52323,1.34306,1.16427,1.01502,0.876083,0.803191,0.736355,0.675069,0.618872,0.567346,0.520109,0.47681,0.437121,0.400741,0.367394,0.336825,0.308801,0.283109,0.259555,0.237961,0.218164,0.200013,0.183373,0.168117,0.154131,0.141308,0.129551,0.118773,0.108892,0.0998326,0.091527,0.0839123,0.0769312,0.0705309,0.064663,0.0592833,0.0543512,0.0498294,0.0456838,0.0418831,0.0383987,0.0352041,0.0322752,0.0295901,0.0271283,0.0248714,0.0228022,0.0209051,0.0191659,0.0175714,0.0161095,0.0147693,0.0135405,0.012414,0.0113812,0.0104344,0.00956628,0.00877041,0.00804075,0.00737179,0.00675849,0.00619621,0.00568072,0.00520811,0.00477481,0.00437757,0.00401338,0.00367948,0.0405474
1952,1.52758,1.39651,1.23132,1.06741,0.93057,0.803189,0.736347,0.675046,0.618826,0.567271,0.520006,0.476683,0.436979,0.400594,0.367248,0.336684,0.308669,0.282986,0.259442,0.237857,0.218068,0.199926,0.183293,0.168044,0.154063,0.141246,0.129495,0.118721,0.108844,0.0997888,0.0914868,0.0838755,0.0768975,0.0704999,0.0646346,0.0592573,0.0543274,0.0498076,0.0456638,0.0418648,0.0383818,0.0351886,0.0322611,0.0295771,0.0271164,0.0248604,0.0227922,0.020896,0.0191575,0.0175637,0.0161025,0.0147628,0.0135346,0.0124086,0.0113762,0.0104298,0.00956208,0.00876656,0.00803722,0.00736856,0.00675553,0.0061935,0.00567823,0.00520582,0.00477272,0.00437565,0.00401162,0.00367787,0.0405296
1953,1.47284,1.40049,1.28032,1.12888,0.978604,0.853131,0.736311,0.674967,0.618685,0.56706,0.519729,0.476355,0.43662,0.400224,0.366882,0.336334,0.308339,0.28268,0.259159,0.237597,0.217829,0.199707,0.183092,0.167859,0.153894,0.141091,0.129353,0.118591,0.108725,0.0996794,0.0913865,0.0837836,0.0768131,0.0704226,0.0645638,0.0591924,0.0542678,0.049753,0.0456137,0.0418189,0.0383397,0.03515,0.0322257,0.0295447,0.0270867,0.0248332,0.0227672,0.020873,0.0191365,0.0175444,0.0160848,0.0147466,0.0135198,0.012395,0.0113638,0.0104184,0.0095516,0.00875695,0.00802841,0.00736048,0.00674812,0.00618671,0.005672,0.00520011,0.00476749,0.00437085,0.00400722,0.00367383,0.0404852
1954,1.38757,1.35031,1.28398,1.17381,1.03496,0.897177,0.782122,0.67499,0.618706,0.567063,0.519698,0.476283,0.436508,0.400082,0.366722,0.336167,0.308174,0.282522,0.259011,0.23746,0.217703,0.19959,0.182985,0.167761,0.153804,0.141008,0.129277,0.118522,0.108661,0.0996211,0.0913331,0.0837346,0.0767682,0.0703814,0.064526,0.0591577,0.0542361,0.0497239,0.0455871,0.0417944,0.0383173,0.0351295,0.0322069,0.0295274,0.0270708,0.0248187,0.0227539,0.0208608,0.0191253,0.0175342,0.0160754,0.014738,0.0135119,0.0123877,0.0113571,0.0104123,0.00954601,0.00875183,0.00802371,0.00735617,0.00674417,0.00618309,0.00566868,0.00519707,0.0047647,0.0043683,0.00400487,0.00367169,0.0404615
1955,1.30234,1.27213,1.23797,1.17715,1.07615,0.948832,0.822469,0.716918,0.61862,0.566932,0.519515,0.476047,0.436227,0.399766,0.366388,0.335829,0.307844,0.282207,0.258716,0.237185,0.21745,0.199358,0.182771,0.167565,0.153625,0.140844,0.129126,0.118383,0.108534,0.0995047,0.0912264,0.0836367,0.0766785,0.0702992,0.0644506,0.0590886,0.0541727,0.0496658,0.0455338,0.0417456,0.0382725,0.0350884,0.0321692,0.0294929,0.0270392,0.0247897,0.0227273,0.0208365,0.019103,0.0175137,0.0160566,0.0147208,0.0134961,0.0123733,0.0113439,0.0104001,0.00953486,0.0087416,0.00801434,0.00734758,0.00673629,0.00617586,0.00566206,0.005191,0.00475913,0.00436319,0.0040002,0.0036674,0.0404142
1956,1.2337,1.19399,1.16629,1.13497,1.07922,0.986588,0.869818,0.753893,0.657034,0.566835,0.519373,0.475855,0.435986,0.399483,0.366075,0.3355,0.307513,0.281885,0.258409,0.236898,0.217184,0.199112,0.182546,0.167358,0.153434,0.140669,0.128966,0.118237,0.1084,0.0993815,0.0911134,0.0835332,0.0765836,0.0702122,0.0643708,0.0590155,0.0541056,0.0496043,0.0454774,0.0416939,0.0382252,0.035045,0.0321294,0.0294564,0.0270057,0.024759,0.0226991,0.0208107,0.0190793,0.017492,0.0160367,0.0147026,0.0134794,0.0123579,0.0113298,0.0103872,0.00952305,0.00873078,0.00800441,0.00733848,0.00672795,0.00616822,0.00565505,0.00518457,0.00475324,0.00435779,0.00399524,0.00366286,0.0403642
1957,1.18686,1.13106,1.09465,1.06926,1.04054,0.989381,0.904368,0.797165,0.690714,0.601758,0.518965,0.475367,0.435437,0.398894,0.365463,0.334882,0.306904,0.281299,0.257854,0.236379,0.216702,0.198667,0.182137,0.166982,0.15309,0.140353,0.128676,0.117971,0.108156,0.0991582,0.0909086,0.0833454,0.0764115,0.0700544,0.0642261,0.0588828,0.053984,0.0494928,0.0453752,0.0416002,0.0381392,0.0349662,0.0320572,0.0293902,0.026945,0.0247033,0.0226481,0.0207639,0.0190364,0.0174527,0.0160007,0.0146695,0.0134491,0.0123302,0.0113044,0.0103639,0.00950165,0.00871115,0.00798642,0.00732199,0.00671283,0.00615435,0.00564234,0.00517292,0.00474256,0.004348,0.00398626,0.00365462,0.0402735
1958,1.16162,1.08812,1.03696,1.00358,0.980296,0.953919,0.90691,0.828791,0.7303,0.632526,0.550845,0.474896,0.43489,0.398292,0.364828,0.334232,0.306256,0.280665,0.257247,0.235806,0.216167,0.198172,0.18168,0.166562,0.152704,0.139999,0.128352,0.117673,0.107883,0.098908,0.0906793,0.0831352,0.0762187,0.0698777,0.0640641,0.0587343,0.0538478,0.0493679,0.0452607,0.0414953,0.038043,0.034878,0.0319763,0.029316,0.0268771,0.024641,0.022591,0.0207115,0.0189884,0.0174087,0.0159603,0.0146325,0.0134151,0.0122991,0.0112758,0.0103377,0.00947768,0.00868918,0.00796628,0.00730352,0.0066959,0.00613883,0.00562811,0.00515987,0.00473059,0.00433703,0.00397621,0.0036454,0.0401719
1959,1.15506,1.06498,0.997591,0.950693,0.920081,0.8987,0.874431,0.831182,0.759374,0.668913,0.579168,0.504238,0.434623,0.397954,0.364434,0.333798,0.305797,0.280197,0.256783,0.235356,0.21574,0.197772,0.181308,0.166219,0.152388,0.139709,0.128086,0.117429,0.10766,0.0987029,0.0904912,0.0829627,0.0760606,0.0697327,0.0639312,0.0586124,0.0537361,0.0492655,0.0451669,0.0414092,0.0379641,0.0348057,0.03191,0.0292552,0.0268213,0.0245899,0.0225441,0.0206686,0.018949,0.0173725,0.0159272,0.0146022,0.0133873,0.0122735,0.0112524,0.0103163,0.00945802,0.00867115,0.00794975,0.00728837,0.00668201,0.00612609,0.00561643,0.00514917,0.00472078,0.00432803,0.00396796,0.00363784,0.0400885
1960,1.16272,1.05897,0.976375,0.914595,0.87159,0.843482,0.823766,0.801307,0.761377,0.69528,0.612174,0.529835,0.461151,0.397408,0.363834,0.333166,0.305148,0.279546,0.256141,0.234736,0.215149,0.197216,0.180791,0.165741,0.151948,0.139304,0.127714,0.117088,0.107347,0.0984159,0.0902281,0.0827215,0.0758395,0.06953,0.0637454,0.058442,0.0535799,0.0491223,0.0450355,0.0412888,0.0378537,0.0347045,0.0318172,0.0291702,0.0267433,0.0245184,0.0224786,0.0206085,0.0188939,0.017322,0.0158809,0.0145597,0.0133484,0.0122379,0.0112197,0.0102863,0.00943052,0.00864594,0.00792664,0.00726718,0.00666258,0.00610828,0.0056001,0.0051342,0.00470705,0.00431545,0.00395642,0.00362727,0.039972
