"","Label","Type","Reference Model","02. Fix M","03. Fix M_k_t0_CV","04. Fix M_t0_CV","05. Fix M_CV","08. Fix growth","09. Fix Linf_CV","10. Fix k_CV","11. Fix CV","12. 5GTG","13. No recdevs","14. recdevs_sR45","15. recdevs_sR75","17. Dome-shaped_sel","18. Lorenzen M"
"1","AIC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",NA,"AIC",2597.14,2584.54,2791.52,2737.46,2777.12,2834.16,2753.38,2795.04,2790.68,2780.46,2722.42,2597.14,2597.14,2785.4,2596.96
"10",NA,"deltaAIC",0,-12.5999999999999,194.38,140.32,179.98,237.02,156.24,197.9,193.54,183.32,125.28,0,0,188.26,-0.179999999999836
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Length_likelihood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",NA,"ALL",96.6423,93.2805,98.2897,101.352,120.166,101.358,97.0465,98.1163,124.948,183.059,203.602,96.6423,96.6423,183.391,96.7542
"14",NA,"Fishery",96.6423,93.2805,98.2897,101.352,120.166,101.358,97.0465,98.1163,124.948,183.059,203.602,96.6423,96.6423,183.391,96.7542
"4","Length_lambda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",NA,"ALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,"Fishery",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"5","Age_likelihood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,"ALL",1109.68,1109.28,1211.29,1180.62,1179.63,1230.49,1192.57,1211.7,1180.33,1114.81,1142.59,1109.68,1109.68,1114.07,1109.66
"18",NA,"Fishery",1109.68,1109.28,1211.29,1180.62,1179.63,1230.49,1192.57,1211.7,1180.33,1114.81,1142.59,1109.68,1109.68,1114.07,1109.66
"6","Age_lambda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",NA,"ALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",NA,"Fishery",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"7","Parameters",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",NA,"NatM_p_1_Fem_GP_1",0.0842438,0.099,0.1,0.1,0.099,0.0754203,0.0891864,0.0871854,0.0811416,0.0773259,0.091293,0.0842438,0.0842438,0.0793771,0.108903
"22",NA,"L_at_Amin_Fem_GP_1",1.96987,1.79193,0,0,5.99362,0,0,0,5.80225,1.5615,2.19609,1.96987,1.96987,1.39577,1.38987
"23",NA,"L_at_Amax_Fem_GP_1",57.1045,57.0525,51.1995,56.4277,57.9542,53.872,53.872,51.3259,57.8256,57.3574,57.2014,57.1045,57.1045,57.333,57.0698
"24",NA,"VonBert_K_Fem_GP_1",0.0925569,0.0929084,0.11535,0.092571,0.0783115,0.11535,0.101604,0.11535,0.0793474,0.0924078,0.0917749,0.0925569,0.0925569,0.0925192,0.0931123
"25",NA,"CV_young_Fem_GP_1",0.090001,0.0922075,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0967747,0.0877411,0.090001,0.090001,0.0888434,0.0905765
"26",NA,"CV_old_Fem_GP_1",0.0525781,0.0520447,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.057476,0.0523967,0.0525781,0.0525781,0.0517185,0.0530272
"27",NA,"Wtlen_1_Fem_GP_1",1.36e-05,1.36e-05,1.36e-05,1.36e-05,1.36e-05,1.36e-05,1.36e-05,1.36e-05,1.36e-05,1.36e-05,1.36e-05,1.36e-05,1.36e-05,1.36e-05,1.36e-05
"28",NA,"Wtlen_2_Fem_GP_1",3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1
"29",NA,"Mat50%_Fem_GP_1",39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4
"30",NA,"Mat_slope_Fem_GP_1",-0.342377,-0.342377,-0.342377,-0.342377,-0.342377,-0.342377,-0.342377,-0.342377,-0.342377,-0.342377,-0.342377,-0.342377,-0.342377,-0.342377,-0.342377
"31",NA,"Eggs_scalar_Fem_GP_1",4.32e-07,4.32e-07,4.32e-07,4.32e-07,4.32e-07,4.32e-07,4.32e-07,4.32e-07,4.32e-07,4.32e-07,4.32e-07,4.32e-07,4.32e-07,4.32e-07,4.32e-07
"32",NA,"Eggs_exp_len_Fem_GP_1",3.548,3.548,3.548,3.548,3.548,3.548,3.548,3.548,3.548,3.548,3.548,3.548,3.548,3.548,3.548
