"","Estimate","Lower Interval","Upper Interval"
"Unfished Spawning Output","2.74643","0.74187683481166","4.75098316518834"
"Unfished Age 3+ Biomass (mt)","36.0422","8.48804632334366","63.5963536766563"
"Unfished Recruitment (R0)","2.4801","-0.499280452179026","5.45948045217903"
"Spawning Output (2021)","1.55096","-0.900210158345482","4.00213015834548"
"Fraction Unfished (2021)","0.56472","0.0565758174401766","1.07286418255982"
"Reference Points Based SB40\%","","",""
"Proxy Spawning Output SB40\%","1.09857","0.296752653852633","1.90038734614737"
"SPR Resulting in SB40\%","0.458333","0.458333","0.458333"
"Exploitation Rate Resulting in SB40\%","0.0609052","0.0427213009395523","0.0790890990604477"
"Yield with SPR Based On SB40\% (mt)","0.811146","0.0516775956665901","1.57061440433341"
"Reference Points Based on SPR Proxy for MSY","","",""
"Proxy Spawning Output (SPR50)","1.22533","0.330994513926405","2.1196654860736"
"SPR50","0.5","",""
"Exploitation Rate Corresponding to SPR50","0.0524814","0.0369556236950253","0.0680071763049746"
"Yield with SPR50 at SB SPR (mt)","0.771397","0.0502302118524718","1.49256378814753"
"Reference Points Based on Estimated MSY Values","","",""
"Spawning Output at MSY (SB MSY)","0.750813","0.280835196111125","1.22079080388887"
"SPR MSY","0.344022","0.31687277488255","0.37117122511745"
"Exploitation Rate Corresponding to SPR MSY","0.0924288","0.0575253693705138","0.127332230629486"
"MSY (mt)","0.871965","0.0483214949207951","1.6956085050792"
