"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20","Age21","Age22","Age23","Age24","Age25","Age26","Age27","Age28","Age29","Age30","Age31","Age32","Age33","Age34","Age35","Age36","Age37","Age38","Age39","Age40","Age41","Age42","Age43","Age44","Age45","Age46","Age47","Age48","Age49","Age50","Age51","Age52","Age53","Age54","Age55","Age56","Age57","Age58","Age59","Age60","Age61","Age62","Age63","Age64","Age65","Age66","Age67","Age68"
1949,1.38517,1.21006,1.04657,0.961463,0.883277,0.81145,0.745463,0.684842,0.629151,0.577989,0.530987,0.487808,0.448139,0.411697,0.378218,0.347462,0.319206,0.293248,0.269402,0.247494,0.227368,0.208879,0.191893,0.176288,0.161952,0.148783,0.136684,0.125569,0.115357,0.105977,0.0973586,0.0894415,0.0821682,0.0754863,0.0693478,0.0637085,0.0585277,0.0537683,0.0493959,0.045379,0.0416888,0.0382987,0.0351843,0.0323231,0.0296946,0.0272799,0.0250615,0.0230235,0.0211512,0.0194312,0.0178511,0.0163995,0.0150659,0.0138407,0.0127152,0.0116812,0.0107313,0.00985863,0.00905693,0.00832043,0.00764381,0.00702222,0.00645118,0.00592657,0.00544463,0.00500187,0.00459512,0.00422145,0.0476905
1950,1.46493,1.27253,1.11166,0.961463,0.883277,0.811448,0.745459,0.684834,0.629138,0.57797,0.530964,0.487781,0.448112,0.41167,0.378192,0.347437,0.319183,0.293227,0.269382,0.247476,0.227351,0.208863,0.191879,0.176275,0.161941,0.148772,0.136674,0.125559,0.115349,0.105969,0.0973515,0.089435,0.0821622,0.0754808,0.0693427,0.0637038,0.0585234,0.0537644,0.0493923,0.0453757,0.0416858,0.0382959,0.0351817,0.0323208,0.0296925,0.0272779,0.0250597,0.0230218,0.0211497,0.0194298,0.0178498,0.0163983,0.0150648,0.0138397,0.0127143,0.0116803,0.0107305,0.00985791,0.00905627,0.00831982,0.00764326,0.00702171,0.00645071,0.00592614,0.00544423,0.00500151,0.00459479,0.00422114,0.047687
1951,1.52323,1.34581,1.16904,1.02126,0.883276,0.811443,0.745443,0.684799,0.629076,0.577881,0.530851,0.487653,0.447976,0.411534,0.378061,0.347314,0.319068,0.293121,0.269284,0.247386,0.227268,0.208787,0.191809,0.176211,0.161881,0.148717,0.136624,0.125514,0.115307,0.10593,0.097316,0.0894023,0.0821321,0.0754532,0.0693174,0.0636805,0.0585021,0.0537447,0.0493742,0.0453591,0.0416706,0.0382819,0.0351689,0.032309,0.0296816,0.0272679,0.0250505,0.0230134,0.021142,0.0194227,0.0178433,0.0163923,0.0150593,0.0138346,0.0127096,0.0116761,0.0107266,0.00985431,0.00905296,0.00831678,0.00764046,0.00701914,0.00644835,0.00592398,0.00544224,0.00499968,0.00459311,0.0042196,0.0476696
1952,1.52758,1.39936,1.23637,1.07398,0.93821,0.81144,0.745434,0.684775,0.62903,0.577805,0.530745,0.487523,0.447831,0.411382,0.377911,0.347169,0.318932,0.292994,0.269167,0.247278,0.227169,0.208696,0.191725,0.176134,0.16181,0.148652,0.136564,0.125458,0.115256,0.105884,0.0972733,0.0893631,0.0820961,0.0754201,0.069287,0.0636526,0.0584764,0.0537211,0.0493526,0.0453392,0.0416523,0.0382651,0.0351534,0.0322948,0.0296686,0.027256,0.0250395,0.0230033,0.0211327,0.0194142,0.0178354,0.0163851,0.0150527,0.0138286,0.012704,0.011671,0.0107219,0.00984999,0.00904899,0.00831313,0.00763711,0.00701607,0.00644552,0.00592138,0.00543985,0.00499749,0.0045911,0.00421775,0.0476487
1953,1.47284,1.40336,1.28557,1.13582,0.986638,0.861894,0.745397,0.684695,0.628887,0.57759,0.530462,0.487186,0.447462,0.411002,0.377534,0.346808,0.318592,0.292678,0.268874,0.247008,0.22692,0.208467,0.191514,0.17594,0.161633,0.148489,0.136414,0.125321,0.11513,0.105768,0.0971666,0.0892651,0.0820061,0.0753374,0.069211,0.0635828,0.0584123,0.0536622,0.0492985,0.0452895,0.0416066,0.0382232,0.0351149,0.0322594,0.0296361,0.0272261,0.0250121,0.0229781,0.0211095,0.0193929,0.0178159,0.0163671,0.0150361,0.0138134,0.0126901,0.0116582,0.0107101,0.00983919,0.00903907,0.00830402,0.00762874,0.00700837,0.00643846,0.00591489,0.00543389,0.00499201,0.00458606,0.00421313,0.0475964
1954,1.38757,1.35307,1.28924,1.18103,1.04346,0.906393,0.791773,0.684717,0.628907,0.577593,0.530431,0.487112,0.447347,0.410855,0.377369,0.346636,0.318422,0.292514,0.268721,0.246865,0.226789,0.208346,0.191403,0.175838,0.161539,0.148402,0.136334,0.125248,0.115063,0.105706,0.0971098,0.0892129,0.0819581,0.0752934,0.0691705,0.0635456,0.0583781,0.0536309,0.0492696,0.045263,0.0415823,0.0382008,0.0350944,0.0322405,0.0296187,0.0272101,0.0249974,0.0229647,0.0210972,0.0193816,0.0178055,0.0163575,0.0150274,0.0138053,0.0126827,0.0116513,0.0107039,0.00983343,0.00903378,0.00829916,0.00762428,0.00700427,0.00643469,0.00591143,0.00543071,0.00498909,0.00458338,0.00421066,0.0475686
1955,1.30234,1.27473,1.24304,1.1844,1.08498,0.958578,0.832618,0.72725,0.62882,0.577459,0.530244,0.486871,0.447058,0.41053,0.377024,0.346286,0.31808,0.292188,0.268414,0.24658,0.226525,0.208103,0.191179,0.175632,0.16135,0.148229,0.136175,0.125101,0.114928,0.105582,0.0969964,0.0891087,0.0818624,0.0752054,0.0690897,0.0634714,0.0583099,0.0535682,0.0492121,0.0452102,0.0415337,0.0381562,0.0350534,0.0322028,0.0295841,0.0271784,0.0249682,0.0229378,0.0210725,0.0193589,0.0177847,0.0163384,0.0150098,0.0137892,0.0126679,0.0116377,0.0106914,0.00982194,0.00902323,0.00828946,0.00761537,0.00699609,0.00642717,0.00590452,0.00542437,0.00498326,0.00457802,0.00420574,0.047513
1956,1.2337,1.19643,1.17107,1.14195,1.08808,0.996722,0.880551,0.764758,0.667867,0.577361,0.530098,0.486674,0.44681,0.410239,0.376701,0.345947,0.317738,0.291855,0.268097,0.246282,0.226248,0.207847,0.190943,0.175415,0.16115,0.148046,0.136006,0.124946,0.114786,0.105452,0.0968763,0.0889983,0.081761,0.0751123,0.0690042,0.0633928,0.0582377,0.0535019,0.0491511,0.0451542,0.0414823,0.038109,0.03501,0.032163,0.0295475,0.0271447,0.0249373,0.0229094,0.0210464,0.019335,0.0177626,0.0163182,0.0149912,0.0137721,0.0126522,0.0116233,0.0106781,0.00980978,0.00901206,0.0082792,0.00760594,0.00698743,0.00641922,0.00589721,0.00541765,0.00497709,0.00457236,0.00420053,0.0474542
1957,1.18686,1.13338,1.09914,1.07584,1.04908,0.999542,0.915525,0.808653,0.702103,0.612931,0.52968,0.486173,0.446247,0.409634,0.376072,0.34531,0.317109,0.291248,0.267521,0.245743,0.225747,0.207383,0.190516,0.175022,0.160789,0.147713,0.135701,0.124666,0.114528,0.105215,0.0966585,0.0887983,0.0815773,0.0749434,0.0688491,0.0632503,0.0581068,0.0533816,0.0490407,0.0450527,0.041389,0.0380233,0.0349313,0.0320907,0.0294811,0.0270837,0.0248813,0.0228579,0.0209991,0.0192915,0.0177227,0.0162815,0.0149575,0.0137412,0.0126238,0.0115972,0.0106541,0.00978773,0.0089918,0.00826059,0.00758884,0.00697172,0.00640479,0.00588395,0.00540547,0.0049659,0.00456208,0.00419109,0.0473475
1958,1.16162,1.09034,1.04121,1.00976,0.988343,0.963715,0.918098,0.840734,0.742342,0.64427,0.562218,0.48569,0.445684,0.409014,0.375418,0.34464,0.31644,0.290592,0.266891,0.245147,0.22519,0.206866,0.190038,0.174582,0.160384,0.147341,0.135359,0.124351,0.114239,0.104949,0.0964147,0.0885743,0.0813715,0.0747544,0.0686754,0.0630908,0.0579603,0.053247,0.0489169,0.044939,0.0412846,0.0379274,0.0348432,0.0320097,0.0294067,0.0270154,0.0248185,0.0228003,0.0209462,0.0192428,0.017678,0.0162405,0.0149198,0.0137065,0.0125919,0.0115679,0.0106272,0.00976304,0.00896912,0.00823975,0.0075697,0.00695414,0.00638863,0.00586911,0.00539184,0.00495338,0.00455057,0.00418052,0.0472281
