"","Label","Type","Reference Model","01. L","02. CL","03. CL_Fr","04. CLA_fixed","05. CLA_fixed_recs","06. RefMod_Dir","07. RefMod_McI","08. RefMod_noDWt","09. Catch67original","10. HistCatchMin","11. HistCatchMax","12. Sex=3","13. CARE_AE"
"1","AIC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",NA,"AIC",2597.14,399.152,410.07,197.4762,2772.5,2792.24,2816.98,1935.118,2597.14,2779.56,2779.32,2779.68,2605.9,2637.28
"10",NA,"deltaAIC",0,-2197.988,-2187.07,-2399.6638,175.36,195.1,219.84,-662.022,0,182.42,182.18,182.54,8.76000000000022,40.1400000000003
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Length_likelihood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",NA,"ALL",96.6423,195.575,202.035,95.738,99.7057,82.1633,184.157,128.284,96.6423,183.017,182.958,183.05,101.831,95.4406
"14",NA,"Fishery",96.6423,195.575,202.035,95.738,99.7057,82.1633,184.157,128.284,96.6423,183.017,182.958,183.05,101.831,95.4406
"4","Length_lambda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",NA,"ALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,"Fishery",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"5","Age_likelihood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,"ALL",1109.68,NA,NA,NA,1283.54,1231.47,1116.77,748.057,1109.68,1114.39,1114.42,1114.37,1109.89,1131.62
"18",NA,"Fishery",1109.68,NA,NA,NA,1283.54,1231.47,1116.77,748.057,1109.68,1114.39,1114.42,1114.37,1109.89,1131.62
"6","Age_lambda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",NA,"ALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",NA,"Fishery",1,NA,NA,NA,1,1,1,1,1,1,1,1,1,1
"7","Parameters",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",NA,"NatM_p_1_Fem_GP_1",0.0842438,0.099,0.099,0.099,0.099,0.099,0.0783329,0.0791291,0.0842438,0.0789689,0.080296,0.0782039,0.083439,0.107613
"22",NA,"L_at_Amin_Fem_GP_1",1.96987,0,0,0,0,0,1.88836,1.74627,1.96987,1.80186,1.79278,1.8078,2.06366,0.312667
"23",NA,"L_at_Amax_Fem_GP_1",57.1045,53.872,53.872,53.872,53.872,53.872,57.3002,57.2703,57.1045,57.2897,57.2909,57.2891,57.1592,56.4695
"24",NA,"VonBert_K_Fem_GP_1",0.0925569,0.11535,0.11535,0.11535,0.11535,0.11535,0.0918512,0.0922059,0.0925569,0.092006,0.0920042,0.092006,0.0922134,0.0979812
"25",NA,"CV_young_Fem_GP_1",0.090001,0.1,0.1,0.1,0.1,0.1,0.0871498,0.0866655,0.090001,0.0873929,0.0873904,0.0873954,0.0893765,0.0439523
"26",NA,"CV_old_Fem_GP_1",0.0525781,0.1,0.1,0.1,0.1,0.1,0.052164,0.051929,0.0525781,0.0519162,0.0519338,0.0519053,0.0526783,0.0576409
"27",NA,"Wtlen_1_Fem_GP_1",1.36e-05,1e-05,1.36e-05,1.36e-05,1.36e-05,1.36e-05,1.36e-05,1.36e-05,1.36e-05,1.36e-05,1.36e-05,1.36e-05,1.36e-05,1.36e-05
"28",NA,"Wtlen_2_Fem_GP_1",3.1,3,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1
"29",NA,"Mat50%_Fem_GP_1",39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4
"30",NA,"Mat_slope_Fem_GP_1",-0.342377,-0.342377,-0.342377,-0.342377,-0.342377,-0.342377,-0.342377,-0.342377,-0.342377,-0.342377,-0.342377,-0.342377,-0.342377,-0.342377
"31",NA,"Eggs_scalar_Fem_GP_1",4.32e-07,1e-05,4.32e-07,4.32e-07,4.32e-07,4.32e-07,4.32e-07,4.32e-07,4.32e-07,4.32e-07,4.32e-07,4.32e-07,4.32e-07,4.32e-07
"32",NA,"Eggs_exp_len_Fem_GP_1",3.548,3,3.548,3.548,3.548,3.548,3.548,3.548,3.548,3.548,3.548,3.548,3.548,3.548
"33",NA,"NatM_p_1_Mal_GP_1",0.0862956,0.099,0.099,0.099,0.099,0.099,0.0837366,0.0848759,0.0862956,0.0843693,0.0856709,0.0836213,0.0872725,0.118049
"34",NA,"L_at_Amin_Mal_GP_1",-2.66343,-3.18913,-3.18913,-3.18913,-3.18913,-3.18913,-0.999476,-1.09102,-2.66343,-1.0284,-1.04098,-1.02044,-2.50813,-3.68483
"35",NA,"L_at_Amax_Mal_GP_1",54.2407,51.195,51.195,51.195,51.195,51.195,54.2716,54.2693,54.2407,54.2709,54.2703,54.2714,54.2508,53.9848
"36",NA,"VonBert_K_Mal_GP_1",0.109402,0.13429,0.13429,0.13429,0.13429,0.13429,0.107014,0.107112,0.109402,0.107037,0.107051,0.107027,0.109013,0.112682
"37",NA,"CV_young_Mal_GP_1",0.148717,0.1,0.1,0.1,0.1,0.1,0.119609,0.12112,0.148717,0.120843,0.12066,0.12096,0.151767,0.110719
"38",NA,"CV_old_Mal_GP_1",0.0371692,0.1,0.1,0.1,0.1,0.1,0.0425563,0.0419956,0.0371692,0.0421676,0.0422254,0.042131,0.0363452,0.0436557
"39",NA,"Wtlen_1_Mal_GP_1",2.38e-05,1.003e-05,2.38e-05,2.38e-05,2.38e-05,2.38e-05,2.38e-05,2.38e-05,2.38e-05,2.38e-05,2.38e-05,2.38e-05,2.38e-05,2.38e-05
"40",NA,"Wtlen_2_Mal_GP_1",2.96,3,2.96,2.96,2.96,2.96,2.96,2.96,2.96,2.96,2.96,2.96,2.96,2.96
"41",NA,"CohortGrowDev",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"42",NA,"FracFemale_GP_1",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"43",NA,"SR_LN(R0)",0.897624,8.23147,1.14398,1.14398,2.47026,18.7093,0.738418,0.74674,0.897624,0.753409,0.777846,0.739618,0.887163,3.62878
"44",NA,"SR_BH_steep",0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72
"45",NA,"SR_sigmaR",0.6,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
"46",NA,"SR_regime",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47",NA,"SR_autocorr",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48",NA,"Early_InitAge_1",0.0626346,NA,NA,NA,NA,0.0862945,0.0710729,0.0529782,0.0626346,0.068638,0.0655432,0.0704737,0.0619174,-0.024212
"49",NA,"Main_RecrDev_1949",0.110204,NA,NA,NA,NA,0.138731,0.119914,0.0862867,0.110204,0.116835,0.11282,0.119252,0.109543,-0.0309903
