Year,OFL 40.10 North,ACL 40.10 North,Predicted OFL (mt),ABC Catch (mt),Buffer,Spawning Output,Fraction Unfished
2021,9.7,8.1,0.94,2.55,1,1.55,0.56
2022,9.7,8.1,0.84,2.53,1,1.39,0.51
2023,-,-,0.75,0.70,0.935,1.23,0.45
2024,-,-,0.74,0.70,0.93,1.21,0.44
2025,-,-,0.74,0.69,0.926,1.20,0.44
2026,-,-,0.74,0.69,0.922,1.20,0.44
2027,-,-,0.75,0.69,0.917,1.20,0.44
2028,-,-,0.75,0.69,0.913,1.20,0.44
2029,-,-,0.76,0.69,0.909,1.21,0.44
2030,-,-,0.76,0.70,0.904,1.21,0.44
2031,-,-,0.77,0.70,0.9,1.22,0.44
2032,-,-,0.78,0.70,0.896,1.23,0.45
